FirstName,MiddleName,LastName,JobTitle,HireDate,EmailAddress,PhoneNumber
Chad,W,Niswonger,Production Technician - WC50,2009-02-18,chad0@adventure-works.com,559-555-0175
Don,L,Hall,Production Technician - WC50,2009-02-13,don0@adventure-works.com,100-555-0174
Michael,T,Entin,Production Technician - WC50,2009-02-25,michael4@adventure-works.com,817-555-0186
Kitti,H,Lertpiriyasuwat,Production Technician - WC50,2009-03-04,kitti0@adventure-works.com,785-555-0132
Pilar,G,Ackerman,Shipping and Receiving Supervisor,2009-01-02,pilar0@adventure-works.com,577-555-0185
Susan,W,Eaton,Stocker,2008-12-07,susan0@adventure-works.com,943-555-0196
Vamsi,N,Kuppa,Shipping and Receiving Clerk,2008-12-07,vamsi0@adventure-works.com,937-555-0137
Kim,T,Ralls,Stocker,2008-12-26,kim0@adventure-works.com,309-555-0129
Matthias,T,Berndt,Shipping and Receiving Clerk,2009-01-20,matthias0@adventure-works.com,139-555-0120
Jimmy,T,Bischoff,Stocker,2009-02-26,jimmy0@adventure-works.com,927-555-0168
David,P,Hamilton,Production Supervisor - WC40,2009-01-03,david4@adventure-works.com,986-555-0177
Paul,B,Komosinski,Production Technician - WC40,2008-12-04,paul0@adventure-works.com,147-555-0160
Gary,W,Yukish,Production Technician - WC40,2008-12-22,gary0@adventure-works.com,901-555-0125
Rob,T,Caron,Production Technician - WC40,2009-02-13,rob1@adventure-works.com,238-555-0116
Baris,F,Cetinok,Production Technician - WC40,2009-02-15,baris0@adventure-works.com,164-555-0114
Nicole,B,Holliday,Production Technician - WC40,2009-02-22,nicole0@adventure-works.com,508-555-0129
Michael,L,Rothkugel,Production Technician - WC40,2009-01-10,michael1@adventure-works.com,454-555-0119
Eric,,Gubbels,Production Supervisor - WC20,2009-01-14,eric0@adventure-works.com,260-555-0119
Ivo,William,Salmre,Production Technician - WC20,2008-12-04,ivo0@adventure-works.com,115-555-0179
Sylvester,A,Valdez,Production Technician - WC20,2009-12-11,sylvester0@adventure-works.com,492-555-0174
Anibal,T,Sousa,Production Technician - WC20,2009-02-23,anibal0@adventure-works.com,106-555-0120
Samantha,H,Smith,Production Technician - WC20,2009-02-04,samantha0@adventure-works.com,587-555-0114
Hung-Fu,T,Ting,Production Technician - WC20,2010-01-06,hung-fu0@adventure-works.com,497-555-0181
Prasanna,E,Samarawickrama,Production Technician - WC20,2010-01-22,prasanna0@adventure-works.com,129-555-0199
Min,G,Su,Production Technician - WC20,2010-01-24,min0@adventure-works.com,590-555-0152
Olinda,C,Turner,Production Technician - WC20,2010-03-04,olinda0@adventure-works.com,306-555-0186
Krishna,,Sunkammurali,Production Technician - WC20,2010-02-13,krishna0@adventure-works.com,491-555-0183
Paul,R,Singh,Production Technician - WC20,2009-01-17,paul1@adventure-works.com,727-555-0112
Cynthia,S,Randall,Production Supervisor - WC30,2009-01-27,cynthia0@adventure-works.com,352-555-0138
Jian Shuo,,Wang,Production Technician - WC30,2008-12-07,jianshuo0@adventure-works.com,952-555-0178
Sandra,,Reátegui Alayo,Production Technician - WC30,2008-12-26,sandra0@adventure-works.com,896-555-0168
Jason,M,Watters,Production Technician - WC30,2009-01-14,jason0@adventure-works.com,571-555-0179
Andy,M,Ruth,Production Technician - WC30,2009-01-31,andy0@adventure-works.com,118-555-0110
Michael,T,Vanderhyde,Production Technician - WC30,2009-02-26,michael5@adventure-works.com,296-555-0121
Rostislav,E,Shabalin,Production Technician - WC30,2009-02-19,rostislav0@adventure-works.com,751-555-0134
Yuhong,L,Li,Production Supervisor - WC20,2009-02-01,yuhong0@adventure-works.com,965-555-0155
Hanying,P,Feng,Production Technician - WC20,2008-12-16,hanying0@adventure-works.com,319-555-0139
Raymond,K,Sam,Production Technician - WC20,2008-12-23,raymond0@adventure-works.com,226-555-0197
Fadi,K,Fakhouri,Production Technician - WC20,2009-01-04,fadi0@adventure-works.com,935-555-0116
Lane,M,Sacksteder,Production Technician - WC20,2009-01-11,lane0@adventure-works.com,200-555-0117
Linda,A,Randall,Production Technician - WC20,2009-02-03,linda1@adventure-works.com,696-555-0157
Shelley,N,Dyck,Production Technician - WC20,2009-03-07,shelley0@adventure-works.com,991-555-0184
Terrence,W,Earls,Production Technician - WC20,2009-02-16,terrence0@adventure-works.com,110-555-0115
Jeff,V,Hay,Production Supervisor - WC45,2009-01-21,jeff0@adventure-works.com,350-555-0167
Kirk,J,Koenigsbauer,Production Technician - WC45,2008-12-15,kirk0@adventure-works.com,669-555-0150
Laura,C,Steele,Production Technician - WC45,2009-01-03,laura0@adventure-works.com,777-555-0141
Alex,M,Nayberg,Production Technician - WC45,2009-02-08,alex0@adventure-works.com,819-555-0198
Andrew,M,Cencini,Production Technician - WC45,2009-03-06,andrew1@adventure-works.com,207-555-0192
Chris,T,Preston,Production Technician - WC45,2009-01-22,chris0@adventure-works.com,200-555-0112
Jack,S,Richins,Production Supervisor - WC30,2009-02-21,jack0@adventure-works.com,552-555-0111
David,N,Johnson,Production Technician - WC30,2008-12-02,david1@adventure-works.com,166-555-0162
Garrett,R,Young,Production Technician - WC30,2008-12-07,garrett0@adventure-works.com,609-555-0179
Susan,A,Metters,Production Technician - WC30,2008-12-14,susan1@adventure-works.com,639-555-0164
George,Z,Li,Production Technician - WC30,2008-12-21,george0@adventure-works.com,518-555-0199
David,A,Yalovsky,Production Technician - WC30,2009-01-02,david3@adventure-works.com,373-555-0142
Marc,J,Ingle,Production Technician - WC30,2009-01-16,marc0@adventure-works.com,234-555-0169
Eugene,R,Zabokritski,Production Technician - WC30,2009-01-21,eugene0@adventure-works.com,241-555-0191
Benjamin,R,Martin,Production Technician - WC30,2009-01-27,benjamin0@adventure-works.com,533-555-0111
Reed,T,Koch,Production Technician - WC30,2009-02-02,reed0@adventure-works.com,678-555-0110
David,Oliver,Lawrence,Production Technician - WC30,2009-02-14,david7@adventure-works.com,118-555-0177
Russell,M,King,Production Technician - WC30,2009-02-21,russell1@adventure-works.com,517-555-0122
John,N,Frum,Production Technician - WC30,2009-03-03,john3@adventure-works.com,663-555-0172
Jan,S,Miksovsky,Production Technician - WC30,2009-03-05,jan0@adventure-works.com,139-555-0131
Katie,L,McAskill-White,Production Supervisor - WC20,2009-02-20,katie0@adventure-works.com,809-555-0133
Michael,T,Hines,Production Technician - WC20,2008-12-09,michael0@adventure-works.com,218-555-0126
Nitin,S,Mirchandani,Production Technician - WC20,2008-12-28,nitin0@adventure-works.com,143-555-0173
Barbara,S,Decker,Production Technician - WC20,2009-01-22,barbara0@adventure-works.com,119-555-0192
John,Y,Chen,Production Technician - WC20,2009-02-09,john2@adventure-works.com,201-555-0163
Stefen,A,Hesse,Production Technician - WC20,2009-02-28,stefen0@adventure-works.com,165-555-0113
Shane,S,Kim,Production Supervisor - WC45,2009-02-08,shane0@adventure-works.com,810-555-0178
Yvonne,S,McKay,Production Technician - WC45,2008-12-09,yvonne0@adventure-works.com,286-555-0189
Douglas,B,Hite,Production Technician - WC45,2008-12-27,douglas0@adventure-works.com,808-555-0172
Janeth,M,Esteves,Production Technician - WC45,2009-01-15,janeth0@adventure-works.com,540-555-0191
Robert,J,Rounthwaite,Production Technician - WC45,2009-02-02,robert0@adventure-works.com,589-555-0147
Lionel,C,Penuchot,Production Technician - WC45,2009-02-26,lionel0@adventure-works.com,450-555-0152
Brenda,M,Diaz,Production Supervisor - WC40,2009-03-05,brenda0@adventure-works.com,142-555-0139
Alejandro,E,McGuel,Production Technician - WC40,2008-12-06,alejandro0@adventure-works.com,668-555-0130
Fred,T,Northup,Production Technician - WC40,2008-12-12,fred0@adventure-works.com,818-555-0192
Kevin,H,Liu,Production Technician - WC40,2008-12-17,kevin1@adventure-works.com,714-555-0138
Shammi,G,Mohamed,Production Technician - WC40,2008-12-24,shammi0@adventure-works.com,793-555-0179
Rajesh,M,Patel,Production Technician - WC40,2008-12-31,rajesh0@adventure-works.com,373-555-0137
Lorraine,O,Nay,Production Technician - WC40,2009-01-04,lorraine0@adventure-works.com,845-555-0184
Paula,R,Nartker,Production Technician - WC40,2009-01-12,paula1@adventure-works.com,476-555-0119
Frank,T,Lee,Production Technician - WC40,2009-01-17,frank0@adventure-works.com,158-555-0191
Brian,T,Lloyd,Production Technician - WC40,2009-01-29,brian0@adventure-works.com,110-555-0182
Tawana,G,Nusbaum,Production Technician - WC40,2009-02-05,tawana0@adventure-works.com,368-555-0113
Ken,L,Myer,Production Technician - WC40,2009-02-24,ken1@adventure-works.com,949-555-0174
Gabe,B,Mares,Production Technician - WC40,2009-03-08,gabe0@adventure-works.com,310-555-0117
Lori,A,Kane,Production Supervisor - WC45,2009-02-26,lori0@adventure-works.com,289-555-0196
Stuart,V,Munson,Production Technician - WC45,2008-12-02,stuart0@adventure-works.com,413-555-0136
Greg,F,Alderson,Production Technician - WC45,2008-12-02,greg0@adventure-works.com,332-555-0150
Scott,R,Gode,Production Technician - WC45,2009-01-08,scott0@adventure-works.com,391-555-0138
Kathie,E,Flood,Production Technician - WC45,2009-01-27,kathie0@adventure-works.com,446-555-0118
Belinda,M,Newman,Production Technician - WC45,2009-02-20,belinda0@adventure-works.com,319-555-0126
Hazem,E,Abolrous,Quality Assurance Manager,2009-02-28,hazem0@adventure-works.com,869-555-0125
Peng,J,Wu,Quality Assurance Supervisor,2008-12-09,peng0@adventure-works.com,164-555-0164
Sootha,T,Charncherngkha,Quality Assurance Technician,2010-02-23,sootha0@adventure-works.com,325-555-0137
Andreas,T,Berglund,Quality Assurance Technician,2009-02-02,andreas0@adventure-works.com,181-555-0124
Mark,L,Harrington,Quality Assurance Technician,2009-01-15,mark0@adventure-works.com,147-555-0179
Sean,P,Alexander,Quality Assurance Technician,2008-12-28,sean0@adventure-works.com,420-555-0173
Zainal,T,Arifin,Document Control Manager,2009-01-04,zainal0@adventure-works.com,204-555-0115
Tengiz,N,Kharatishvili,Control Specialist,2008-12-16,tengiz0@adventure-works.com,910-555-0116
Sean,N,Chai,Document Control Assistant,2009-01-22,sean1@adventure-works.com,205-555-0132
Karen,R,Berge,Document Control Assistant,2009-02-09,karen0@adventure-works.com,746-555-0164
Chris,K,Norred,Control Specialist,2009-03-06,chris1@adventure-works.com,575-555-0126
A. Scott,,Wright,Master Scheduler,2008-12-12,ascott0@adventure-works.com,992-555-0194
Sairaj,L,Uddin,Scheduling Assistant,2009-01-26,sairaj0@adventure-works.com,500-555-0159
William,S,Vong,Scheduling Assistant,2009-01-07,william0@adventure-works.com,148-555-0145
Alan,J,Brewer,Scheduling Assistant,2009-02-13,alan0@adventure-works.com,438-555-0172
Brian,P,LaMee,Scheduling Assistant,2009-03-03,brian1@adventure-works.com,313-555-0196
Gary,E.,Altman,Facilities Manager,2009-12-02,gary1@adventure-works.com,110-555-0112
Christian,E,Kleinerman,Maintenance Supervisor,2008-12-14,christian0@adventure-works.com,846-555-0157
Lori,K,Penor,Janitor,2010-02-16,lori1@adventure-works.com,295-555-0161
Stuart,J,Macrae,Janitor,2010-03-05,stuart1@adventure-works.com,539-555-0149
Jo,L,Berry,Janitor,2010-03-07,jo1@adventure-works.com,228-555-0159
Pat,H,Coleman,Janitor,2010-01-27,pat0@adventure-works.com,720-555-0158
Magnus,E,Hedlund,Facilities Administrative Assistant,2009-12-21,magnus0@adventure-works.com,583-555-0182
Laura,F,Norman,Chief Financial Officer,2009-01-31,laura1@adventure-works.com,615-555-0110
Paula,M,Barreto de Mattos,Human Resources Manager,2008-12-06,paula0@adventure-works.com,523-555-0175
Grant,N,Culbertson,Human Resources Administrative Assistant,2009-02-25,grant0@adventure-works.com,955-555-0131
Hao,O,Chen,Human Resources Administrative Assistant,2009-02-06,hao0@adventure-works.com,806-555-0136
Vidur,X,Luthra,Recruiter,2009-01-01,vidur0@adventure-works.com,153-555-0186
Mindy,C,Martin,Benefits Specialist,2008-12-25,mindy0@adventure-works.com,522-555-0147
Willis,T,Johnson,Recruiter,2008-12-13,willis0@adventure-works.com,778-555-0141
David,J,Liu,Accounts Manager,2009-01-30,david6@adventure-works.com,646-555-0185
Deborah,E,Poe,Accounts Receivable Specialist,2008-12-18,deborah0@adventure-works.com,602-555-0194
Candy,L,Spoon,Accounts Receivable Specialist,2009-01-06,candy0@adventure-works.com,920-555-0177
Bryan,A,Walton,Accounts Receivable Specialist,2009-01-24,bryan1@adventure-works.com,935-555-0199
Barbara,C,Moreland,Accountant,2009-02-18,barbara1@adventure-works.com,822-555-0145
Dragan,K,Tomic,Accounts Payable Specialist,2009-02-11,dragan0@adventure-works.com,117-555-0185
Janet,L,Sheperdigian,Accounts Payable Specialist,2009-03-01,janet0@adventure-works.com,393-555-0186
Mike,K,Seamans,Accountant,2009-03-08,mike0@adventure-works.com,927-555-0150
Wendy,Beth,Kahn,Finance Manager,2008-12-25,wendy0@adventure-works.com,248-555-0134
Sheela,H,Word,Purchasing Manager,2011-02-25,sheela0@adventure-works.com,210-555-0193
Mikael,Q,Sandberg,Buyer,2009-02-10,mikael0@adventure-works.com,309-555-0170
Arvind,B,Rao,Buyer,2009-02-28,arvind0@adventure-works.com,848-555-0163
Linda,P,Meisner,Buyer,2009-12-17,linda2@adventure-works.com,916-555-0165
Fukiko,J,Ogisu,Buyer,2010-01-04,fukiko0@adventure-works.com,520-555-0177
Gordon,L,Hee,Buyer,2010-01-11,gordon0@adventure-works.com,230-555-0144
Frank,S,Pellow,Buyer,2010-01-23,frank2@adventure-works.com,163-555-0147
Eric,S,Kurjan,Buyer,2010-01-27,eric2@adventure-works.com,265-555-0195
Erin,M,Hagens,Buyer,2010-01-31,erin0@adventure-works.com,842-555-0158
Ben,T,Miller,Buyer,2010-03-09,ben0@adventure-works.com,151-555-0113
Annette,L,Hill,Purchasing Assistant,2010-12-06,annette0@adventure-works.com,125-555-0196
Reinout,N,Hillmann,Purchasing Assistant,2010-12-25,reinout0@adventure-works.com,370-555-0163
David,M,Barber,Assistant to the Chief Financial Officer,2009-01-12,david5@adventure-works.com,477-555-0132
Jean,E,Trenary,Information Services Manager,2008-12-11,jean0@adventure-works.com,685-555-0120
Stephanie,A,Conroy,Network Manager,2009-02-04,stephanie0@adventure-works.com,594-555-0110
Ashvini,R,Sharma,Network Administrator,2008-12-04,ashvini0@adventure-works.com,656-555-0119
Peter,I,Connelly,Network Administrator,2009-02-23,peter1@adventure-works.com,310-555-0133
Karen,A,Berg,Application Specialist,2009-02-16,karen1@adventure-works.com,654-555-0177
Ramesh,V,Meyyappan,Application Specialist,2009-02-03,ramesh0@adventure-works.com,182-555-0134
Dan,K,Bacon,Application Specialist,2009-01-11,dan0@adventure-works.com,166-555-0159
François,P,Ajenstat,Database Administrator,2009-01-17,françois0@adventure-works.com,785-555-0110
Dan,B,Wilson,Database Administrator,2009-01-22,dan1@adventure-works.com,653-555-0144
Janaina,Barreiro Gambaro,Bueno,Application Specialist,2008-12-23,janaina0@adventure-works.com,623-555-0155
Brian,S,Welcker,Vice President of Sales,2011-02-15,brian3@adventure-works.com,716-555-0127
Stephen,Y,Jiang,North American Sales Manager,2011-01-04,stephen0@adventure-works.com,238-555-0197
Michael,G,Blythe,Sales Representative,2011-05-31,michael9@adventure-works.com,257-555-0154
Linda,C,Mitchell,Sales Representative,2011-05-31,linda3@adventure-works.com,883-555-0116
Jillian,,Carson,Sales Representative,2011-05-31,jillian0@adventure-works.com,517-555-0117
Garrett,R,Vargas,Sales Representative,2011-05-31,garrett1@adventure-works.com,922-555-0165
Tsvi,Michael,Reiter,Sales Representative,2011-05-31,tsvi0@adventure-works.com,664-555-0112
Pamela,O,Ansman-Wolfe,Sales Representative,2011-05-31,pamela0@adventure-works.com,340-555-0193
Shu,K,Ito,Sales Representative,2011-05-31,shu0@adventure-works.com,330-555-0120
José,Edvaldo,Saraiva,Sales Representative,2011-05-31,josé1@adventure-works.com,185-555-0169
David,R,Campbell,Sales Representative,2011-05-31,david8@adventure-works.com,740-555-0182
Tete,A,Mensa-Annan,Sales Representative,2012-09-30,tete0@adventure-works.com,615-555-0153
Syed,E,Abbas,Pacific Sales Manager,2013-03-14,syed0@adventure-works.com,926-555-0182
Lynn,N,Tsoflias,Sales Representative,2013-05-30,lynn0@adventure-works.com,1 (11) 500 555-0190
Amy,E,Alberts,European Sales Manager,2012-04-16,amy0@adventure-works.com,775-555-0164
Rachel,B,Valdez,Sales Representative,2013-05-30,rachel0@adventure-works.com,1 (11) 500 555-0140
Jae,B,Pak,Sales Representative,2012-05-30,jae0@adventure-works.com,1 (11) 500 555-0145
Ranjit,R,Varkey Chudukatil,Sales Representative,2012-05-30,ranjit0@adventure-works.com,1 (11) 500 555-0117
